timestamp,thread,endpoint,status_code,latency_ms
1779027947414,Load Users 1-44,POST /batch mixed tasks,200,348
1779027947657,Load Users 1-22,GET /work random mode,200,113
1779027947154,Load Users 1-30,GET /work random mode,200,620
1779027947378,Load Users 1-13,POST /batch mixed tasks,200,409
1779027947513,Load Users 1-8,GET /work random mode,200,284
1779027947150,Load Users 1-38,POST /batch mixed tasks,200,649
1779027947680,Load Users 1-40,GET /work random mode,200,137
1779027947497,Load Users 1-73,GET /work random mode,200,324
1779027947678,Load Users 1-92,POST /batch mixed tasks,200,144
1779027947656,Load Users 1-87,GET /work random mode,200,172
1779027947431,Load Users 1-43,POST /batch mixed tasks,200,398
1779027947487,Load Users 1-75,POST /batch mixed tasks,200,371
1779027947855,Load Users 1-40,GET /work random mode,200,3
1779027947798,Load Users 1-95,POST /batch mixed tasks,200,62
1779027947841,Load Users 1-63,GET /work random mode,200,23
1779027947829,Load Users 1-49,GET /work random mode,200,39
1779027947659,Load Users 1-89,POST /batch mixed tasks,200,211
1779027947567,Load Users 1-11,POST /batch mixed tasks,200,312
1779027947666,Load Users 1-4,GET /work random mode,200,215
1779027947453,Load Users 1-77,POST /batch mixed tasks,200,434
1779027947869,Load Users 1-29,GET /work random mode,200,35
1779027947417,Load Users 1-32,POST /batch mixed tasks,200,488
1779027947846,Load Users 1-98,GET /work random mode,200,62
1779027947380,Load Users 1-1,POST /batch mixed tasks,200,533
1779027947604,Load Users 1-70,POST /batch mixed tasks,200,323
1779027947574,Load Users 1-58,POST /batch mixed tasks,200,353
1779027947542,Load Users 1-56,POST /batch mixed tasks,200,387
1779027947687,Load Users 1-90,GET /work random mode,200,247
1779027947775,Load Users 1-55,POST /batch mixed tasks,200,161
1779027947778,Load Users 1-60,GET /work random mode,200,166
1779027947313,Load Users 1-36,POST /batch mixed tasks,200,642
1779027947678,Load Users 1-23,GET /work random mode,200,278
1779027947839,Load Users 1-57,GET /work random mode,200,122
1779027947514,Load Users 1-53,POST /batch mixed tasks,200,449
1779027947921,Load Users 1-92,GET /work random mode,200,57
1779027947461,Load Users 1-67,GET /work random mode,200,521
1779027947728,Load Users 1-80,POST /batch mixed tasks,200,258
1779027947472,Load Users 1-20,POST /batch mixed tasks,200,521
1779027947914,Load Users 1-43,GET /work random mode,200,82
1779027947610,Load Users 1-3,GET /work random mode,200,387
1779027947787,Load Users 1-96,GET /work random mode,200,217
1779027947383,Load Users 1-12,GET /work random mode,200,625
1779027947604,Load Users 1-28,POST /batch mixed tasks,200,405
1779027947825,Load Users 1-34,POST /batch mixed tasks,200,185
1779027947703,Load Users 1-50,GET /work random mode,200,307
1779027947517,Load Users 1-5,POST /batch mixed tasks,200,497
1779027947724,Load Users 1-54,GET /work random mode,200,293
1779027947233,Load Users 1-14,POST /batch mixed tasks,200,791
1779027947540,Load Users 1-74,GET /work random mode,200,492
1779027947443,Load Users 1-42,GET /work random mode,200,598
1779027947660,Load Users 1-2,GET /work random mode,200,386
1779027947876,Load Users 1-62,POST /batch mixed tasks,200,180
1779027947667,Load Users 1-19,POST /batch mixed tasks,200,394
1779027947679,Load Users 1-15,GET /work random mode,200,388
1779027947608,Load Users 1-39,POST /batch mixed tasks,200,460
1779027948044,Load Users 1-70,GET /work random mode,200,28
1779027947457,Load Users 1-59,GET /work random mode,200,616
1779027947134,Load Users 1-66,GET /work random mode,200,946
1779027947396,Load Users 1-47,POST /batch mixed tasks,200,684
1779027947679,Load Users 1-45,GET /work random mode,200,405
1779027947621,Load Users 1-27,POST /batch mixed tasks,200,465
1779027947619,Load Users 1-68,POST /batch mixed tasks,200,472
1779027947902,Load Users 1-100,GET /work random mode,200,192
1779027947756,Load Users 1-10,GET /work random mode,200,341
1779027947801,Load Users 1-41,POST /batch mixed tasks,200,296
1779027947277,Load Users 1-69,POST /batch mixed tasks,200,823
1779027947370,Load Users 1-76,GET /work random mode,200,735
1779027947724,Load Users 1-25,POST /batch mixed tasks,200,386
1779027947658,Load Users 1-93,POST /batch mixed tasks,200,457
1779027947706,Load Users 1-48,POST /batch mixed tasks,200,412
1779027948093,Load Users 1-20,GET /work random mode,200,27
1779027947959,Load Users 1-11,GET /work random mode,200,168
1779027948117,Load Users 1-5,GET /work random mode,200,11
1779027947636,Load Users 1-91,POST /batch mixed tasks,200,507
1779027947604,Load Users 1-18,POST /batch mixed tasks,200,542
1779027947729,Load Users 1-84,POST /batch mixed tasks,200,419
1779027947524,Load Users 1-16,POST /batch mixed tasks,200,627
1779027947984,Load Users 1-77,GET /work random mode,200,169
1779027947801,Load Users 1-81,POST /batch mixed tasks,200,353
1779027948038,Load Users 1-55,GET /work random mode,200,130
1779027948146,Load Users 1-70,GET /work random mode,200,24
1779027948066,Load Users 1-60,POST /batch mixed tasks,200,106
1779027947540,Load Users 1-21,POST /batch mixed tasks,200,635
1779027947325,Load Users 1-61,GET /work random mode,200,851
1779027948019,Load Users 1-56,GET /work random mode,200,163
1779027948081,Load Users 1-96,GET /work random mode,200,109
1779027947475,Load Users 1-83,POST /batch mixed tasks,200,719
1779027947548,Load Users 1-52,GET /work random mode,200,656
1779027947991,Load Users 1-32,POST /batch mixed tasks,200,218
1779027947546,Load Users 1-9,POST /batch mixed tasks,200,663
1779027948040,Load Users 1-1,POST /batch mixed tasks,200,170
1779027948198,Load Users 1-69,GET /work random mode,200,14
1779027947844,Load Users 1-22,POST /batch mixed tasks,200,370
1779027947511,Load Users 1-37,POST /batch mixed tasks,200,706
1779027948130,Load Users 1-28,GET /work random mode,200,92
1779027948212,Load Users 1-59,GET /work random mode,200,13
1779027947575,Load Users 1-85,POST /batch mixed tasks,200,656
1779027947845,Load Users 1-44,GET /work random mode,200,388
1779027947575,Load Users 1-33,GET /work random mode,200,660
1779027947483,Load Users 1-71,POST /batch mixed tasks,200,757
1779027948118,Load Users 1-19,GET /work random mode,200,127
1779027947907,Load Users 1-38,POST /batch mixed tasks,200,346
1779027947621,Load Users 1-6,POST /batch mixed tasks,200,639
1779027948038,Load Users 1-36,GET /work random mode,200,223
1779027947693,Load Users 1-94,GET /work random mode,200,570
1779027947640,Load Users 1-24,GET /work random mode,200,625
1779027947395,Load Users 1-72,POST /batch mixed tasks,200,885
1779027948221,Load Users 1-77,GET /work random mode,200,69
1779027948224,Load Users 1-68,GET /work random mode,200,67
1779027948063,Load Users 1-58,GET /work random mode,200,230
1779027947914,Load Users 1-49,GET /work random mode,200,393
1779027948218,Load Users 1-41,GET /work random mode,200,91
1779027947801,Load Users 1-17,POST /batch mixed tasks,200,511
1779027948222,Load Users 1-66,GET /work random mode,200,90
1779027947691,Load Users 1-35,POST /batch mixed tasks,200,627
1779027948134,Load Users 1-2,GET /work random mode,200,185
1779027948173,Load Users 1-42,GET /work random mode,200,146
1779027948100,Load Users 1-53,POST /batch mixed tasks,200,221
1779027947952,Load Users 1-40,POST /batch mixed tasks,200,383
1779027947898,Load Users 1-87,POST /batch mixed tasks,200,439
1779027947509,Load Users 1-82,GET /work random mode,200,830
1779027947909,Load Users 1-75,POST /batch mixed tasks,200,430
1779027948122,Load Users 1-39,GET /work random mode,200,223
1779027948326,Load Users 1-24,GET /work random mode,200,21
1779027947831,Load Users 1-99,POST /batch mixed tasks,200,528
1779027948358,Load Users 1-68,GET /work random mode,200,3
1779027947431,Load Users 1-31,POST /batch mixed tasks,200,933
1779027948156,Load Users 1-34,POST /batch mixed tasks,200,218
1779027948165,Load Users 1-48,POST /batch mixed tasks,200,214
1779027948184,Load Users 1-91,GET /work random mode,200,200
1779027948070,Load Users 1-80,GET /work random mode,200,316
1779027948012,Load Users 1-4,POST /batch mixed tasks,200,379
1779027947877,Load Users 1-30,POST /batch mixed tasks,200,514
1779027948305,Load Users 1-33,GET /work random mode,200,95
1779027948346,Load Users 1-85,GET /work random mode,200,55
1779027948363,Load Users 1-53,GET /work random mode,200,54
1779027947696,Load Users 1-7,GET /work random mode,200,737
1779027948184,Load Users 1-20,GET /work random mode,200,254
1779027948232,Load Users 1-81,GET /work random mode,200,214
1779027947941,Load Users 1-98,POST /batch mixed tasks,200,520
1779027947061,Load Users 1-46,POST /batch mixed tasks,200,1400
1779027948267,Load Users 1-18,POST /batch mixed tasks,200,197
1779027947629,Load Users 1-51,POST /batch mixed tasks,200,840
1779027948209,Load Users 1-21,POST /batch mixed tasks,200,264
1779027948452,Load Users 1-82,GET /work random mode,200,23
1779027947954,Load Users 1-73,POST /batch mixed tasks,200,526
1779027948113,Load Users 1-15,POST /batch mixed tasks,200,382
1779027948216,Load Users 1-84,POST /batch mixed tasks,200,283
1779027948333,Load Users 1-72,GET /work random mode,200,167
1779027947560,Load Users 1-88,POST /batch mixed tasks,200,942
1779027947550,Load Users 1-86,POST /batch mixed tasks,200,956
1779027948037,Load Users 1-90,POST /batch mixed tasks,200,471
1779027948282,Load Users 1-37,POST /batch mixed tasks,200,234
1779027948013,Load Users 1-63,POST /batch mixed tasks,200,506
1779027948498,Load Users 1-7,GET /work random mode,200,35
1779027947803,Load Users 1-79,POST /batch mixed tasks,200,743
1779027948526,Load Users 1-91,GET /work random mode,200,22
